transaction,no_recursion_poseidon_proving_time,no_recursion_keccak_proving_time,level_1_proving_time,time_difference
0,12.8285,11.8469,16.254295536,4.407395536000001
1,29.9191,27.5042,32.129350984,4.625150983999998
2,10.496,9.6956,15.630427726,5.934827726
3,7.2611,6.7237,12.933845448,6.210145448
4,7.2672,6.6221,12.988494056,6.366394056000001
5,10.4677,9.5235,15.678952613,6.155452613
6,12.8197,11.8868,17.507277512,5.620477512000003
7,12.7229,11.6335,17.642829528,6.009329528
8,28.8435,26.2234,33.125277681,6.901877680999998
9,16.5663,15.1244,20.476538741,5.352138740999999
10,6.7927,6.8157,12.973859312,6.158159312
11,7.2906,6.675,12.898477026,6.223477026
12,7.252,6.6792,12.886329236,6.207129236
13,10.4245,9.5294,15.312324081,5.782924080999999
14,8.9523,8.2219,14.152315726,5.930415726
15,7.2305,6.6612,12.966752443,6.305552443000001
16,7.2216,6.686,12.902176587,6.216176587
17,12.7633,11.7241,17.563753731,5.8396537309999985
18,13.1828,12.1372,17.784991358,5.647791357999999
19,7.2651,6.8062,12.900504438,6.094304438000001
20,7.2964,6.7837,13.049129499,6.265429499
21,7.2552,6.8406,12.917890036,6.077290035999999
22,7.2765,6.8219,12.868345043,6.046445042999999
23,13.2548,12.09,17.68993593,5.599935930000001
24,8.9466,8.2563,13.981707069,5.725407069000001
25,7.2701,6.7504,12.892998005,6.142598005000001
26,7.2212,6.6629,12.930815856,6.267915856000001
27,7.229,6.7177,12.903470153,6.185770153000001
28,7.2585,6.6973,12.891646535,6.194346534999999
29,12.6702,11.6507,17.380569986,5.729869986000001
30,9.0816,8.2056,14.107402823,5.901802822999999
31,9.0423,8.1798,14.063850489,5.884050489
32,7.2602,6.6716,12.539367738,5.8677677379999995
33,8.993,8.1735,14.043849211,5.870349210999999
34,7.2809,6.7187,12.869026366,6.150326366
35,7.2469,6.7075,12.89369581,6.186195810000001
36,7.3356,6.8187,12.841871701,6.023171701000001
37,7.2181,6.7116,12.927098928,6.215498928
38,13.4017,12.0771,18.115440561,6.038340561
39,13.3489,12.2675,17.987741466,5.720241465999999
40,6.7693,6.7569,12.927027914,6.170127914
41,8.4211,8.2621,14.074004614,5.8119046139999995
42,8.3772,8.2124,14.200592391,5.988192391
43,8.3857,8.2966,14.06961417,5.77301417
44,8.3873,8.1374,14.08353009,5.9461300900000005
45,8.4311,8.2511,13.97813397,5.727033970000001
46,12.3728,11.9463,17.651287904,5.704987903999999
47,8.4566,8.2065,14.145447932,5.938947932
48,12.7496,12.2531,18.192452859,5.9393528589999995
49,12.6412,12.2739,18.025325278,5.751425278000001
50,12.2717,11.8699,17.403979706,5.534079706000002
51,8.4407,8.1368,14.195259942,6.058459942000001
52,249.5451,238.4465,238.603384519,0.1568845190000161
53,8.564,8.2297,14.427464517,6.197764517000001
54,8.4534,8.4164,14.676913828,6.260513828000001
55,8.5088,8.3711,14.601444797,6.230344796999999
56,8.4011,8.3161,14.43452658,6.1184265799999995
57,8.3934,8.2484,14.392133021,6.143733020999999
58,8.4031,8.1967,14.404658531,6.207958531000001
59,8.4419,8.3373,14.344721706,6.007421705999999
60,12.6967,12.465,18.473784149,6.008784149
61,8.426,8.3132,14.370894209,6.057694208999999
62,8.3817,8.2699,14.454398685,6.184498684999999
63,6.7947,6.7203,13.002113543,6.281813543
64,12.3,11.9638,17.743748915,5.779948915
65,8.4537,8.2802,14.322739804,6.042539803999999
66,12.5832,12.2956,18.203719589,5.908119588999998
67,8.4453,8.2838,14.483079965,6.199279965000001
68,8.4637,8.26,14.409784997,6.149784996999999
69,11.9757,11.83,17.722482575,5.892482575000001
70,8.4134,8.2545,14.374999401,6.120499401
71,6.7644,6.7724,13.039274754,6.266874753999999
72,8.4777,8.2282,14.426140008,6.1979400080000016
73,6.8241,6.6784,13.031008087,6.352608087
74,8.4248,8.2505,14.408238482,6.157738481999999
75,8.4035,8.2201,14.373408538,6.153308537999999
76,8.4882,8.2018,14.318670774,6.116870773999999
77,8.4892,8.2597,14.345839335,6.086139335
78,8.5459,8.2665,14.356439796,6.0899397959999995
79,12.6876,12.2908,18.378153742,6.087353741999998
80,9.9883,9.5889,15.526900596,5.938000596
81,8.4984,8.256,14.414163508,6.1581635079999995
82,6.8117,6.7393,13.085724652,6.346424652
83,12.9113,12.3434,18.429078292,6.085678291999999
84,8.4682,8.2832,14.390864824,6.107664823999999
85,7.3143,6.8093,13.045889293,6.236589293
86,13.1912,12.2553,18.005297126,5.7499971259999985
87,12.7263,11.7451,17.673100367,5.928000366999999
88,9.0447,8.3394,14.368943139,6.029543139000001
89,9.0835,8.3446,14.530297016,6.185697016000001
90,13.262,12.3676,18.454058107,6.086458107000002
91,10.4306,9.6972,15.702474607,6.005274606999999
92,12.7576,11.9907,17.740457029,5.749757029000001
93,95.9551,89.4324,89.623687103,0.1912871029999934
94,60.0123,55.1042,52.320170862,-2.784029138000001
95,35.3198,33.6129,35.648199713,2.0352997129999935
96,60.249,56.6701,53.890183965,-2.7799160349999994
97,10.6023,9.8366,15.555243523,5.718643522999999
98,59.6965,56.0709,53.632316552,-2.438583448000003
99,27.0258,25.2815,26.981954126,1.7004541260000003
100,59.6277,55.1376,53.214830489,-1.9227695109999985
101,29.7399,27.7338,30.101297865,2.3674978650000007
102,35.5608,32.8219,34.984173969,2.1622739689999975
